Molecule,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
DTSiC-TC,A,-5.79,-4.07,1.67,688,664
,,,,,,
DTTC-4Cl,A,-5.72,-4.03,1.47,753,690
,,,,,,
DTTC-4F,A,-5.69,-3.91,1.55,725,676
,,,,,,
eC9-2Cl,A,-5.57,-3.74,nan,nan,nan
,,,,,,
EH-HD-4F,A,-5.69,-4.04,1.39,813,732
,,,,,,
EH-IDTBR,A,-5.51,-3.88,1.63,690,650
,,,,,,
ERCN,A,-5.5,-3.59,1.82,572,582
,,,,,,
F(DPP)2B2,A,-5.21,-3.39,1.82,nan,nan
,,,,,,
F-0Cl,A,-5.43,-3.71,nan,nan,nan
,,,,,,
F1,D,-5.5,-3.53,1.97,577,568
,,,,,,
F-1Cl,A,-5.46,-3.75,nan,nan,nan
,,,,,,
F-2Cl,A,-5.63,-3.89,1.58,732,688
,,,,,,
F-2F,A,-5.78,-3.89,1.6,703,678
,,,,,,
F5IC,A,-5.82,-4.05,1.64,694,666
,,,,,,
F7IC,A,-5.74,-4.01,1.56,730,690
,,,,,,
F8IC,A,-5.4,-4,nan,nan,nan
,,,,,,
F8IDT-Br,A,-5.82,-3.87,1.7,638,600
,,,,,,
F9IC,A,-5.52,-3.97,1.49,746,710
,,,,,,
FBM,A,-6.25,-4.14,2.11,501,486
,,,,,,
FBR,A,-5.77,-3.57,2.14,509,nan
,,,,,,
F-Br,A,-5.62,-4.06,1.56,720,679
,,,,,,
F-BTA3,A,-5.52,-3.39,nan,nan,nan
,,,,,,
F-Cl,A,-5.62,-4.04,1.58,711,678
,,,,,,
FDICTF,A,-5.43,-3.71,1.63,689,665
,,,,,,
FDNCTF,A,-5.48,-3.82,1.6,714,697
,,,,,,
FDTBT-IDTT-FINCN,A,-5.46,-3.92,1.51,723,691
,,,,,,
FEHIDT,A,-5.95,-3.95,nan,nan,nan
,,,,,,
F-F,A,-5.72,-4.13,1.59,703,674
,,,,,,
FFI-1,A,-6.1,-3.5,nan,nan,nan
,,,,,,
F-H,A,-5.43,-3.71,1.63,689,665
,,,,,,
F-ITIC,A,-5.65,-4.09,nan,nan,nan
,,,,,,
FITP,A,-5.48,-3.75,nan,nan,nan
,,,,,,
Flu-RH,A,-5.58,-3.53,2.1,nan,nan
,,,,,,
F-M,A,-5.42,-3.7,1.65,687,662
,,,,,,
FNIC1,A,-5.61,-3.92,1.48,752,734
,,,,,,
FNIC2,A,-5.56,-4,1.38,794,750
,,,,,,
FNTz-Teh-FA,A,-6.17,-3.55,2.08,nan,525
,,,,,,
FO-2F,A,-5.72,-3.94,1.47,784,696
,,,,,,
FOC2C6-2FIC,A,-5.51,-3.84,1.43,742,710
,,,,,,
FOC6-FIC,A,-5.47,-3.81,1.47,736,708
,,,,,,
FOC6-IC,A,-5.42,-3.77,1.51,721,700
,,,,,,
FOIC,A,-5.38,-3.91,1.32,836,782
,,,,,,
FRd2,A,-5.67,-3.58,nan,509,nan
,,,,,,
FRdCN2,A,-5.88,-3.81,nan,530,nan
,,,,,,
FTAZ,D,-5.38,-3.17,nan,nan,nan
,,,,,,
GL1,A,-5.4,-3.83,1.28,846,817
,,,,,,
H1,A,-5.51,-3.84,1.67,nan,nan
,,,,,,
H11,D,-5.27,-3.45,nan,nan,nan
,,,,,,
H13,D,-5.43,-3.39,nan,nan,nan
,,,,,,
H14,D,-5.46,-3.47,nan,nan,nan
,,,,,,
H2,A,-5.62,-3.94,nan,nan,nan
,,,,,,
H-2F,A,-5.58,-4.06,1.46,745,710
,,,,,,
HD-4Cl,A,-5.68,-4.09,nan,nan,nan
,,,,,,
HDO-4Cl,A,-5.7,-3.91,nan,nan,nan
,,,,,,
HFO-PCIC,A,-5.5,-3.81,1.48,723,686
,,,,,,
HF-PCIC,A,-5.53,-3.83,1.5,716,682
,,,,,,
HFQx-T,D,-5.44,-3.5,1.76,601,604
,,,,,,
HF-TCIC,A,-5.43,-3.83,1.44,706,nan
,,,,,,
H-IDTzR,A,-5.31,-3.44,1.87,616,582
,,,,,,
H-ITIC,A,-5.61,-4.02,nan,nan,nan
,,,,,,
HTAZ,D,-5.42,-3.44,nan,nan,nan
,,,,,,
IBCT,A,-5.5,-3.7,nan,nan,nan
,,,,,,
IBR,A,-5.64,-3.41,nan,565,nan
,,,,,,
i-cc23,A,-5.34,-3.64,1.69,677,663
,,,,,,
i-cc34,A,-5.39,-3.75,1.57,717,708
,,,,,,
IC-C6IDT-IC,A,-5.69,-3.91,1.62,nan,nan
,,,,,,
ICIF2F,A,-5.45,-4.02,1.36,823,760
,,,,,,
ICPDT-4F,A,-5.33,-3.91,nan,nan,nan
,,,,,,
Icz-Rd2,A,-5.59,-3.88,nan,590,543
,,,,,,
Icz-RdCN2,A,-5.58,-3.98,nan,642,582
,,,,,,
ID4F,A,-5.83,-3.86,1.64,707,671
,,,,,,
ID-4F,A,-5.75,-4.06,nan,719,677
,,,,,,
IDBDT-O,A,-5.68,-3.68,1.55,713,711
,,,,,,
IDBDT-T,A,-5.78,-3.66,1.63,701,686
,,,,,,
IDBTR-C6,A,-5.3,-3.71,1.52,711,654
,,,,,,
IDIC,A,-5.69,-3.91,1.63,716,666
,,,,,,
IDIC-4Cl,A,-5.9,-4.04,1.52,755.8,688.5
,,,,,,
IDIC8-F,A,-5.51,-3.82,nan,nan,nan
,,,,,,
IDIC8-H,A,-5.52,-3.76,nan,nan,nan
,,,,,,
IDIC8-M,A,-5.51,-3.72,nan,nan,nan
,,,,,,
IDIC-PhC6,A,-5.72,-3.86,1.71,682,654
,,,,,,
IDSe-T-IC,A,-5.45,-3.79,1.52,nan,nan
,,,,,,
IDST-4F,A,-5.59,-4.01,nan,791,728
,,,,,,
IDT(DCV)2,A,-5.81,-3.65,2.16,538,532
,,,,,,
IDT(TCV)2,A,-6.04,-4.18,1.86,616,602
,,,,,,
IDT-2B,A,-5.8,-3.84,1.73,672,654
,,,,,,
IDT-2BM,A,-5.5,-3.79,1.34,688.99,657.99
,,,,,,
IDT-2BR,A,-5.52,-3.69,nan,636,nan
,,,,,,
IDT-2BR1,A,-5.37,-3.67,1.61,nan,nan
,,,,,,
IDT2-IC,A,-5.28,-3.91,1.5,715,710
,,,,,,
IDT2-IC-4Cl,A,-5.34,-3.95,1.4,779,739
,,,,,,
IDT-2O,A,-5.73,-3.85,1.64,706,668
,,,,,,
IDT-2PDI,A,-5.53,-3.83,nan,nan,nan
,,,,,,
IDT2Se,A,-5.41,-3.87,1.45,747,722
,,,,,,
IDT2Se-4F,A,-5.51,-4,1.39,789,737
,,,,,,
IDT-3EsT,A,-5.38,-3.85,1.55,705,683
,,,,,,
IDT-3EsT-2IC2F,A,-5.38,-3.93,1.44,759,704
,,,,,,
IDT-4CN,A,-5.45,-3.95,nan,698,nan
,,,,,,
IDT-4EsT-2IC2F,A,-5.35,-3.93,1.44,738,719
,,,,,,
IDT6CN-M,A,-5.6,-3.87,1.6,nan,nan
,,,,,,
IDTA,A,-5.88,-3.9,nan,nan,nan
,,,,,,
IDT-BC6,A,-5.55,-3.82,1.75,592,nan
,,,,,,
IDT-BOC6,A,-5.51,-3.78,1.63,688,nan
,,,,,,
IDTBR,A,-5.63,-3.8,nan,nan,nan
,,,,,,
IDT-BT-R,A,-5.3,-3.59,nan,nan,nan
,,,,,,
IDTC,A,-5.57,-3.96,1.51,727,nan
,,,,,,
IDTC-4Cl,A,-5.5,-3.79,nan,nan,nan
,,,,,,
IDTCR,A,-5.46,-3.67,1.76,622,603
,,,,,,
IDT-CR,A,-5.34,-3.44,1.78,590,598
,,,,,,
IDT-CT,A,-5.39,-3.67,1.63,655,639
,,,,,,
IDT-EDOT,A,-5.43,-3.8,1.41,789,753
,,,,,,
IDTI,A,-5.81,-3.94,nan,nan,nan
,,,,,,
IDTIC,A,-5.85,-3.89,nan,nan,nan
,,,,,,
IDT-IC,A,-5.61,-3.88,1.72,683.49,646
,,,,,,
IDTIDSe-T-IC,A,-5.41,-3.81,nan,nan,nan
,,,,,,
IDTIDT-IC,A,-5.42,-3.82,1.53,721,696
,,,,,,
IDTN,A,-5.8,-3.98,1.57,732,688
,,,,,,
IDT-N,A,-5.74,-4.08,1.58,727,687
,,,,,,
IDTN-O,A,-5.77,-3.89,1.59,728,686
,,,,,,
IDT-NTI-1HH,A,-5.4,-3.8,nan,nan,nan
,,,,,,
IDT-NTI-2EH,A,-5.4,-3.9,nan,nan,nan
,,,,,,
IDTO,A,-5.52,-3.84,1.53,723,nan
,,,,,,
IDT-OB,A,-5.77,-3.87,1.66,697,661
,,,,,,
IDTOT2F,A,-5.54,-3.94,1.44,765,723
,,,,,,
IDT-PDOT,A,-5.39,-3.77,1.43,776,747
,,,,,,
IDT-R,A,-5.44,-3.53,1.96,583,576
,,,,,,
