Name,R_grp_SMILES,SMILE,Comments (Stanley),Name_Aaron,Comments (Aaron),Comments (after matching),Important comments for Group Meeting,"40, 67, 97,208,225"
IEICO-4Cl,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(O[R4])cc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)s4)sc3c3cc4c(c5sc(c6c(O[R4])cc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(c4c(OCC(CC)CCCC)cc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)s4)sc3c3cc4c(c5sc(c6c(OCC(CC)CCCC)cc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,,IEICO-4Cl,,,,
IEICO-4F,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(O[R4])cc(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)s4)sc3c3cc4c(c5sc(c6c(O[R4])cc(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(c4c(OCC(CC)CCCC)cc(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)s4)sc3c3cc4c(c5sc(c6c(OCC(CC)CCCC)cc(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)s6)cc5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,,IEICO-4F,,,,
i-IEICO-4F,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(O[R4])c(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)cs4)sc3c3cc4c(c5sc(c6c(O[R4])c(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)cs6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(c4c(OCC(CC)CCCC)c(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)cs4)sc3c3cc4c(c5sc(c6c(OCC(CC)CCCC)c(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)cs6)cc5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,,i-IEICO-4F,,,,
ITVIC,O=C1c2c(C(/C1=C/C=C/c1cc3sc4c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5c4cc(C(c4ccc([R14])cc4)(c4c6sc7c4sc(/C=C/C=C4/C(c8c(C4=O)cccc8)=C(C#N)/C#N)c7)c4ccc([R14])cc4)c6c5)c3s1)=C(C#N)\C#N)cccc2,O=C1c2c(C(/C1=C/C=C/c1cc3sc4c(C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c5c4cc(C(c4ccc(CCCCCC)cc4)(c4c6sc7c4sc(/C=C/C=C4/C(c8c(C4=O)cccc8)=C(C#N)/C#N)c7)c4ccc(CCCCCC)cc4)c6c5)c3s1)=C(C#N)\C#N)cccc2,,ITVIC,,,,
ITVffIC,O=C1C2=C(C(/C1=C/C=C/C1=CC(SC3=C4C(C5=CC=C(C=C5)[R14])(C5=CC=C(C=C5)[R14])C(C=C56)=C3C=C6C(C3=CC=C(C=C3)[R14])(C3=C5SC5=C3SC(/C=C/C=C3/C(C6=C(C3=O)C=C(F)C(F)=C6)=C(C#N)/C#N)=C5)C3=CC=C(C=C3)[R14])=C4S1)=C(C#N)\C#N)C=C(F)C(F)=C2,O=C1C2=C(C(/C1=C/C=C/C1=CC(SC3=C4C(C5=CC=C(C=C5)CCCCCC)(C5=CC=C(C=C5)CCCCCC)C(C=C56)=C3C=C6C(C3=CC=C(C=C3)CCCCCC)(C3=C5SC5=C3SC(/C=C/C=C3/C(C6=C(C3=O)C=C(F)C(F)=C6)=C(C#N)/C#N)=C5)C3=CC=C(C=C3)CCCCCC)=C4S1)=C(C#N)\C#N)C=C(F)C(F)=C2,,ITVffIC,,,,
IDT-IC,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc(/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1)=C(C#N)/C#N,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc(/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc3C2(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)s1)=C(C#N)/C#N,,IDT-IC,"Triplicate on here, duplicate on PDF",names are equivalent in literature,,
SJ-IC,O=C1c2ccccc2C(/C1=C/C=C/c1cc2c(c3cc4c(c5sc(/C=C/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1)=C(C#N)/C#N,O=C1c2ccccc2C(/C1=C/C=C/c1cc2c(c3cc4c(c5sc(/C=C/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc3C2(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)s1)=C(C#N)/C#N,,SJ-IC,,,,
IC-C6IDT-IC,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc(/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C4([R14])[R14])cc3C2([R14])[R14])s1)=C(C#N)/C#N,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc(/C=C6/C(c7ccccc7C6=O)=C(C#N)\C#N)cc5C4(CCCCCC)CCCCCC)cc3C2(CCCCCC)CCCCCC)s1)=C(C#N)/C#N,,IDIC,,names are equivalent in literature,,
BT-IC,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1sc(c2sc3c(O[R4])c4c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5cc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)sc55)c5sc4c(O[R4])c3c2C2(c3ccc([R14])cc3)c3ccc([R14])cc3)c2c1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1sc(c2sc3c(OCC(CC)CCCC)c4c(C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)c5cc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)sc55)c5sc4c(OCC(CC)CCCC)c3c2C2(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2c1,,BT-IC,,,,
A201,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc6cc(/C=C7C(c8c(C\7=C(C#N)/C#N)cccc8)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1)=C(C#N)/C#N,O=C1c2ccccc2C(/C1=C/c1cc2c(c3cc4c(c5sc6cc(/C=C7C(c8c(C\7=C(C#N)/C#N)cccc8)=O)sc6c5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc3C2(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)s1)=C(C#N)/C#N,,A201,,,,
BTA13,[R14]c1ccc(C(c2ccc([R14])cc2)(c2c3sc4cc(c5c6nn([R2])nc6c(/C=C6C(N(CC)/C(S\6)=C(C#N)/C#N)=O)cc5)sc24)c2c3cc(C(c3ccc([R14])cc3)(c3c4sc5cc(c6c7nn([R2])nc7c(/C=C7C(N(CC)/C(S\7)=C(C#N)/C#N)=O)cc6)sc35)c3ccc([R14])cc3)c4c2)cc1,CCCCCCc1ccc(C(c2ccc(CCCCCC)cc2)(c2c3sc4cc(c5c6nn(CCCCCCCC)nc6c(/C=C6C(N(CC)/C(S\6)=C(C#N)/C#N)=O)cc5)sc24)c2c3cc(C(c3ccc(CCCCCC)cc3)(c3c4sc5cc(c6c7nn(CCCCCCCC)nc7c(/C=C7C(N(CC)/C(S\7)=C(C#N)/C#N)=O)cc6)sc35)c3ccc(CCCCCC)cc3)c4c2)cc1,,BTA13,,,,
IDTT-BH,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc([R7])cc5)(c5ccc([R7])cc5)c5c4cc(C(c4ccc([R7])cc4)(c4c6sc7c4sc(/C=C4/C(c8c(C4=O)cc4ccccc4c8)=C(C#N)/C#N)c7)c4ccc([R7])cc4)c6c5)c3s1)=C(C#N)\C#N)cc1ccccc1c2,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc(SCC(CCCCCC)CCCC)cc5)(c5ccc(SCC(CCCCCC)CCCC)cc5)c5c4cc(C(c4ccc(SCC(CCCCCC)CCCC)cc4)(c4c6sc7c4sc(/C=C4/C(c8c(C4=O)cc4ccccc4c8)=C(C#N)/C#N)c7)c4ccc(SCC(CCCCCC)CCCC)cc4)c6c5)c3s1)=C(C#N)\C#N)cc1ccccc1c2,,IDTT-BH,,,,
IDTT-OBH,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc(O[R7])cc5)(c5ccc(O[R7])cc5)c5c4cc(C(c4ccc(O[R7])cc4)(c4c6sc7c4sc(/C=C4/C(c8c(C4=O)cc4ccccc4c8)=C(C#N)/C#N)c7)c4ccc(O[R7])cc4)c6c5)c3s1)=C(C#N)\C#N)cc1ccccc1c2,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc(OSCC(CCCCCC)CCCC)cc5)(c5ccc(OSCC(CCCCCC)CCCC)cc5)c5c4cc(C(c4ccc(OSCC(CCCCCC)CCCC)cc4)(c4c6sc7c4sc(/C=C4/C(c8c(C4=O)cc4ccccc4c8)=C(C#N)/C#N)c7)c4ccc(OSCC(CCCCCC)CCCC)cc4)c6c5)c3s1)=C(C#N)\C#N)cc1ccccc1c2,,IDTT-OBH,,,,
6TIC,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc([R14])cc5)(c5c4sc4c5sc5c4C(c4ccc([R14])cc4)(c4c5sc5c4sc(/C=C4/C(c6c(C4=O)cccc6)=C(C#N)/C#N)c5)c4ccc([R14])cc4)c4ccc([R14])cc4)c3s1)=C(C#N)\C#N)cccc2,O=C1c2c(C(/C1=C/c1cc3sc4c(C(c5ccc(CCCCCC)cc5)(c5c4sc4c5sc5c4C(c4ccc(CCCCCC)cc4)(c4c5sc5c4sc(/C=C4/C(c6c(C4=O)cccc6)=C(C#N)/C#N)c5)c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c3s1)=C(C#N)\C#N)cccc2,,6TIC,,,,
TP21,S=C(N(C/1=O)CC)SC1=C\c1c2c(nc(c3ccccc3)c(c3ccccc3)n2)c(c2cc3c(c4c(C3([R2])[R2])cc(c3sc(/C=C5C(N(CC)C(S\5)=S)=O)c5nc(c6ccccc6)c(c6ccccc6)nc53)cc4)cc2)s1,S=C(N(C/1=O)CC)SC1=C\c1c2c(nc(c3ccccc3)c(c3ccccc3)n2)c(c2cc3c(c4c(C3(CCCCCCCC)CCCCCCCC)cc(c3sc(/C=C5C(N(CC)C(S\5)=S)=O)c5nc(c6ccccc6)c(c6ccccc6)nc53)cc4)cc2)s1,,TP21,,,,
IDT-2BR,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc(CCCCCC)cc7)5c5ccc(CCCCCC)cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)s2)cc1,"same structure, different labels",IDT-BT-R2,,names are equivalent in literature,,
IDT-BT-RF3,S=C(N(C/1=O)CC(F)(F)F)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC(F)(F)F)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1,S=C(N(C/1=O)CC(F)(F)F)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc(CCCCCC)cc7)5c5ccc(CCCCCC)cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC(F)(F)F)=S)cc5)s6)cc4C3(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)s2)cc1,,IDT-BT-RF3,,,,
IDT-BT-RO,S=C(N(C/1=O)COC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)COC)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1,S=C(N(C/1=O)COC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc(CCCCCC)cc7)5c5ccc(CCCCCC)cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)COC)=S)cc5)s6)cc4C3(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)s2)cc1,,IDT-BT-RO,,,,
IDT-BT-RN,S=C(N(C/1=O)N2CCCCC2)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)N7CCCCC7)=S)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1,S=C(N(C/1=O)N2CCCCC2)SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc(CCCCCC)cc7)5c5ccc(CCCCCC)cc5)cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)N7CCCCC7)=S)cc5)s6)cc4C3(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)s2)cc1,,IDT-BT-RN,,,,
IDT-O-IC,O=C1c2c(C(/C1=C/c1cc(C(c3ccc(O[R2])cc3)(c3ccc(O[R2])cc3)c3c4cc(C(c5ccc(O[R2])cc5)5c6ccc(O[R2])cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)cccc7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cccc2,O=C1c2c(C(/C1=C/c1cc(C(c3ccc(OCCCCCC)cc3)(c3ccc(OCCCCCC)cc3)c3c4cc(C(c5ccc(OCCCCCC)cc5)5c6ccc(OCCCCCC)cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)cccc7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cccc2,,IDT-O-IC,,,,
spiro-IDT-O-IC,O=C1c2c(C(/C1=C/c1cc(C3(c4ccc(O[R2])cc4c4c3ccc(O[R2])c4)c3c4cc(C56c7ccc(O[R2])cc7c7c5ccc(O[R2])c7)c(c5c6cc(/C=C6/C(c7c(C6=O)cccc7)=C(C#N)/C#N)s5)c3)c4s1)=C(C#N)\C#N)cccc2,O=C1c2c(C(/C1=C/c1cc(C3(c4ccc(OCCCCCC)cc4c4c3ccc(OCCCCCC)c4)c3c4cc(C56c7ccc(OCCCCCC)cc7c7c5ccc(OCCCCCC)c7)c(c5c6cc(/C=C6/C(c7c(C6=O)cccc7)=C(C#N)/C#N)s5)c3)c4s1)=C(C#N)\C#N)cccc2,,spiro-IDT-O-IC,,,,
ICBF-O,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3[R2])ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5[R2])cc4C([R2])3[R2])cc21,CCCCCCCCC1(CCCCCCCC)c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3CCCCCCCC)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5CCCCCCCC)cc4C(CCCCCCCC)3CCCCCCCC)cc21,,ICBF-O,,,,
ICBF,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5)cc4C([R2])3[R2])cc21,CCCCCCCCC1(CCCCCCCC)c2cc(c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)cc5)cc4C(CCCCCCCC)3CCCCCCCC)cc21,,ICBF,,,,
FICBF-O,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)cc3[R2])ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)cc5[R2])cc4C([R2])3[R2])cc21,CCCCCCCCC1(CCCCCCCC)c2cc(c3sc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)cc3CCCCCCCC)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)cc5CCCCCCCC)cc4C(CCCCCCCC)3CCCCCCCC)cc21,,FICBF-O,,,,
FICBF,[R2]C1([R2])c2cc(c3sc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)cc5)cc4C([R2])3[R2])cc21,CCCCCCCCC1(CCCCCCCC)c2cc(c3sc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)cc3)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)cc5)cc4C(CCCCCCCC)3CCCCCCCC)cc21,,FICBF,,,,
